RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
373686,Picnic Cowboy Caviar,798690,Amy BC,60.0,20,80,2009-05-22T02:13:00Z,Make and share this Picnic Cowboy Caviar recipe from Food.com.,Black Beans,"c(""Beans"", ""Tex Mex"", ""Southwestern U.S."", ""Potluck"", ""Spring"", ""Summer"", ""No Cook"", ""Refrigerator"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""15"", ""15"", ""15"", ""5 -6"", ""1"", ""1"", ""2"", ""2"", ""1"", ""1/3"", ""1/3"", ""1 1/2"", ""1/2"", ""2"", ""2"")","c(""black beans"", ""black-eyed peas"", ""white corn"", ""roma tomatoes"", ""bell pepper"", ""red onion"", ""avocados"", ""cilantro leaf"", ""red wine vinegar"", ""extra virgin olive oil"", ""salt"", ""pepper"", ""cumin"", ""garlic"")",4.0,1.0,341.5,18.0,2.6,0.0,612.9,39.3,12.3,4.1,11.0,8.0,,"c(""Mix the dressing ingredients together."", ""Toss dressing with the rest of the ingredients. If you are making this ahead of time toss the avocado with lemon juice before adding it to the rest to avoid browning. Chill at least 1 hour."")"
406657,Turkey Schnitzel With Tots &amp; Apple-Cranberry Sauce,601277,hungrykitten,25.0,15,40,2010-01-04T08:06:00Z,Make and share this Turkey Schnitzel With Tots &amp; Apple-Cranberry Sauce recipe from Food.com.,Poultry,"c(""Meat"", ""< 60 Mins"")","c(""4"", ""4"", ""1"", ""1/3"", NA, ""2"", ""1 1/2"", ""1"", NA, ""4"", NA, NA, ""4"")","c(""potatoes"", ""mcintosh apples"", ""apple cider"", ""dried sweetened cranberries"", ""flour"", ""eggs"", ""poultry seasoning"", ""nutmeg"", ""lemon wedges"")",,,421.0,5.3,1.4,105.8,342.9,85.1,9.8,24.7,12.2,4.0,,"c(""Bake the potatoes according to package directions until golden and crisp."", ""In a large saucepan, bring the apples, cider and cranberries to a boil. Lower the heat to medium and cook, mashing the apples into a sauce, for 15 minutes."", ""Meanwhile, place the flour, eggs and breadcrumbs on 3 separate plates. Season the breadcrumbs with the poultry seasoning and nutmeg. Season the turkey cutlets with salt and pepper and coat them in the flour, then in the egg, then in the breadcrumbs."", ""In a large skillet, heat 1/4 inch vegetable oil over medium heat. Add the cutlets 2 at a time and fry, turning once, until deep golden and cooked through, 5 to 8 minutes. Serve with the lemon wedges, potatoes and apple-cranberry sauce.""
)"
457811,Banilla Splash,169430,Annacia,,3,3,2011-06-02T15:59:00Z,Make and share this Banilla Splash recipe from Food.com.,Beverages,"c(""Polynesian"", ""< 15 Mins"", ""Easy"")","c(""1"", ""1"", ""4 1/2"", ""1 1/2"")","c(""vodka"", ""cranberry juice"")",5.0,2.0,154.6,0.3,0.0,0.0,2.5,20.2,0.3,16.7,0.9,1.0,,"c(""Add all ingredients to a hurricane glass filled with ice cubes."", ""Stir well, add a cherry and serve."")"
112556,Easy Tomato Tortilla Soup,2310,Geema,10.0,5,15,2005-03-03T19:59:00Z,I am looking forward to trying this super simple soup from Eden foods with some additions of my own.,Beans,"c(""< 15 Mins"", ""Easy"")","c(""2"", ""1"", ""1/2"", NA, NA, ""1"", ""1"", ""2"", ""2"")","c(""diced tomatoes with green chilies"", ""navy beans"", ""white kidney beans"", ""milk"", ""soymilk"", ""sea salt"", ""fresh pepper"", ""garlic powder"", ""fresh cilantro"", ""corn tortilla strips"")",3.0,1.0,211.2,1.0,0.1,0.0,1900.8,42.7,11.2,0.4,11.6,4.0,,"c(""Place beans and tomatoes in a blender and puree until creamy."", ""Pour into a medium saucepan, add milk, and season with salt, pepper, garlic and chipotle."", ""Turn the heat to medium, stirring frequently, and bring almost to a boil."", ""Reduce the heat to low and simmer for 5 to 10 minutes."", ""Ladle into serving bowls and garnish each with cilantro and tortilla strips."")"
93,Blue Stuffed Mushrooms,1533,Dancer,,15,15,1999-08-12T06:42:00Z,Make and share this Blue Stuffed Mushrooms recipe from Food.com.,Free Of...,"c(""< 15 Mins"", ""Easy"")","c(""4"", ""4"", ""1"", ""14"", ""14"", ""14"")","c(""blue cheese"", ""cream cheese"", ""half-and-half"", ""mushrooms"", ""pecan halves"", ""fresh basil leaves"")",5.0,11.0,246.3,22.2,12.1,53.8,482.8,3.5,0.9,1.0,9.9,4.0,,"c(""In a medium bowl, combine the blue cheese and the cream cheese."", ""Beat them together with an electric mixer so that they are smooth."", ""Add the half & half and beat it in so that the mixture is fluffy."", ""Fill the mushroom caps with the cheese mixture."", ""Top each with a pecan half and a basil leaf."")"
270692,Sausage and Green Pea Pie,498271,loof751,25.0,15,40,2007-12-09T03:12:00Z,Make and share this Sausage and Green Pea Pie recipe from Food.com.,Savory Pies,"c(""Pork"", ""Meat"", ""< 60 Mins"")","c(""2"", ""1"", ""2"", ""1/3"", ""1 1/2"", ""1"")","c(""olive oil"", ""water"", ""frozen green peas"")",5.0,2.0,238.4,12.2,4.2,59.4,1100.3,12.6,3.3,6.5,19.7,,,"c(""Heat the oil in a large skillet.  Add sausage and crumble.  Saute over medium heat until cooked through."", ""Add pasta sauce, water, and peas and bring to a boil."", ""Pour into a pie plate."", ""Unroll and separate breadsticks.  Place 6 of the breadsticks across the pie plate over the sausage mixture, twisting each one and spacing evenly.  Place the remaining 6 breadsticks over the first in the opposite direction, creating a lattice pattern.  Trim ends if needed."", ""Bake at 375 degrees for 25 minutes.""
)"
371891,Oil-Poached-Garlic Puree and Roasted-Garlic Oil,860079,kitty.rock,150.0,15,165,2009-05-13T22:19:00Z,This process for preparing garlic yields two culinary treasures; a rich-tasting puree that can be enjoyed on it's own or used as a cooking ingredient as well as an infused oil. Serving size is indicated in the directions for both puree and infused oil. From the book &quot;EatingWell in Season&quot; and posted for ZWT5.,Very Low Carbs,"c(""Low Protein"", ""< 4 Hours"", ""Easy"")","c(""4"", ""4"", ""1 1/2"", ""1/2"")","c(""heads of garlic"", ""water"", ""canola oil"", ""extra virgin olive oil"")",5.0,1.0,503.0,54.5,4.8,0.0,5.2,5.0,0.3,0.1,0.9,8.0,2 cups oil,"c(""Bring 4 cups of water to boil in a medium saucepan."", ""Remove from the heat, add the separated but unpeeled cloves of 4 heads of garlic, stir to submerge the cloves, cover and let sit until the garlic skins are softened and cool enough to handle, about 50 minutes."", ""Strain the garlic, discarding the water, remove the skins and cut off the hard nub where the clove was attached to the head."", ""Place the garlic, canola oil and EVOO in a medium saucepan; bring to a gentle simmer over medium-low heat."", 
""Reduce the heat to low and maintain a very gentle simmer (it may be necessary to slide the pan to the edge of the burner). Simmer until the cloves are golden and very soft when pressed with a fork, 40 to 50 minutes. Let cool for 30 minutes."", ""Transfer the cooled garlic to a sieve to drain, reserving the oil. Transfer the garlic to a food processor and puree until smooth, scraping down the sides occasionally. Store the puree and the oil separately in the refrigerator."", ""NOTE: makes 1/2 to 2/3 cup puree (depending on the size of the garlic) and 2 cups garlic-infused oil.""
)"
150351,Corn and Wild Rice Pudding,264745,KathyP53,45.0,10,55,2006-01-04T15:48:00Z,Make and share this Corn and Wild Rice Pudding recipe from Food.com.,Rice,"c(""Corn"", ""Vegetable"", ""Winter"", ""< 60 Mins"")","c(""2"", ""1"", ""1"", ""2/3"", ""4"", ""1"", ""3"", ""1 1/2"", ""1/2"", ""1/8"", ""1/2"")","c(""eggs"", ""heavy cream"", ""milk"", ""scallions"", ""salt"", ""cayenne pepper"", ""nutmeg"", ""butter"")",,1.0,277.1,19.8,11.3,150.3,654.1,20.5,2.4,2.5,7.4,,,"c(""Preheat oven to 325 degrees."", ""In an large bowl, combine egg, egg yolk, heavy cream and milk and whisk well to combine. Add all remaining ingredients except butter and mix well."", ""Grease an 8 x 12\"" casserole with the butter. Pous custard ingredients into prepared casserole and bake uncovered for 45 minutes, or until custard is set and golden brown on the top."", ""Serve warm."")"
465861,Most Excellent Hash Brown Casserole,1992418,starryblu,45.0,15,60,2011-10-10T15:40:00Z,"As simple as it gets, and my very favorite potato casserole! I've been making this for over 30 years. I've also made these by shredding my own hash browns. Just be sure to rinse after shredding, or you will end up with a slimy mess.",Potato,"c(""Vegetable"", ""Potluck"", ""Weeknight"", ""< 60 Mins"", ""Easy"")","c(""1"", ""2"", ""1"", ""1.5"")","c(""frozen hash browns"", ""milk"", ""cream cheese"")",,,483.7,33.1,15.3,62.6,636.8,41.7,2.8,4.3,8.7,8.0,,"c(""Preheat oven to 350 degrees Fahrenheit."", ""Stir together cream of celery soup and milk in saucepan or microwaveable bowl."", ""Cut cream cheese into cubes."", ""Stir into soup/milk mixture."", ""Heat just until combined, using whisk if possible; small bits of cheese may remain."", ""In large bowl combine hash browns and soup mixture."", ""Pour into 9 x 13 inch glass baking dish."", ""Bake 45 to 60 minutes, or until bubbly and light brown on top."")"
435467,Creamy Chicken and Bacon,287420,English_Rose,20.0,10,30,2010-08-19T01:59:00Z,Make and share this Creamy Chicken and Bacon recipe from Food.com.,Chicken,"c(""Poultry"", ""Meat"", ""Kid Friendly"", ""Savory"", ""Weeknight"", ""< 30 Mins"")","c(""2"", ""4"", ""4"", ""1"", ""1"", ""4"", ""10"", ""7/8"")","c(""olive oil"", ""chicken breast fillets"", ""smoked back bacon"", ""onion"", ""garlic clove"", ""button mushrooms"", ""milk"")",,,173.4,13.0,3.1,7.5,486.1,11.3,0.7,2.7,4.1,4.0,,"c(""Heat the oil in a large frying pan, add the cubes of chicken and cook for approximately 5-7 minutes."", ""Add the bacon, onion, garlic and mushrooms and continue stir-frying for a further 5 minutes."", ""Stir in the soup and milk and simmer gently for 15 minutes or until the chicken is tender, stirring occasionally."", ""Serve with French beans, rice or pasta and sprinkle with fresh parmesan shavings."")"
